trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.532396088923,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9}",25,0,-113.28098711183462,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.81}",20,0,-116.06148128204246,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,0,-96.89717363566851,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.6561}",25,7,-53.66403334975218,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.5904900000000001}",30,0,-99.67253506533461,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.531441}",30,2,-31.390907145442256,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.4782969000000001}",25,12,6.913620281873554,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.4304672100000001}",25,0,-76.43988996285633,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.3874204890000001}",25,0,-71.9548323575399,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.3486784401000001}",25,11,12.562661331008341,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.31381059609000006}",25,17,-7.955112078391066,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.2824295364810001}",20,0,-54.220075848276586,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.2541865828329001}",25,0,-113.52671792530325,"{0: 20, 1: 0, 2: 0, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.2287679245496101}",30,9,34.4849053887712,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.20589113209464907}",25,18,11.424051230259954,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.18530201888518416}",30,16,17.05287727868157,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,9,17.48268463231534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.15009463529699918}",20,0,2.8371143242911385,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,17,-5.7938544091279685,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.12157665459056935}",20,0,11.112140803094263,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.10941898913151242}",20,0,-66.17283205834501,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.09847709021836118}",30,12,13.974674798013398,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.08862938119652507}",35,10,-57.561781908038284,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.07976644307687256}",25,12,20.660313837105413,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0717897987691853}",20,3,3.4660981742858645,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.06461081889226677}",25,13,-2.0122843990580357,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.058149737003040096}",25,0,36.760472611826394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.05233476330273609}",25,13,0.3202283209142349,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.047101286972462485}",25,5,14.809331456921234,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,2.706245559524551,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,0.6700960894531403,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-93.99682589383733,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,13,19.94108637704345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,12,31.413296517129208,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,3,23.83908372308025,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,8.956593045586082,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,13,15.005006679976677,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,8,-14.14744584835514,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,15,11.815189474576611,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
