trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.38563371251968,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.995}",20,0,-182.02418461362004,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.990025}",20,14,-56.14478650146391,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-47.88942960761548,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.980149500625}",30,0,-130.8532041251417,"{0: 14, 1: 4, 2: 11, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.975248753121875}",20,0,-73.2040559626008,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,0,-119.77043465734762,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9655206468094842}",20,0,-48.633118999255565,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9606930435754368}",25,6,-128.1488254942035,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9558895783575596}",20,0,-103.78606596985324,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-99.20408168425085,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-118.63444767495777,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-170.6046272993526,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9369146928798039}",30,0,-237.41713665215252,"{0: 12, 1: 7, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,0,-194.83787374250244,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9275689688183278}",35,18,-88.95217654271637,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-63.9396983642488,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-135.54707122036126,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,0,-69.00384544495462,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-23.742857161494385,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-276.4808854831671,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 5}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,2,-71.3917015066135,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.6957902202885,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,12,-57.74843540830511,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-139.47359148873548,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-236.56583553056902,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-33.16113100224986,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-101.58091811872417,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-156.66543235789294,"{0: 20, 1: 7, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.91561972397423,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",1
